year	talalunga_n	talalunga_dens	id
2003	0	0	267
2003	0	0	268
2003	0	0	269
2003	0	0	270
2003	0	0	271
2003	0	0	272
2003	0	0	273
2003	0	0	274
2003	0	0	275
2003	1	0.00856898029134533	276
2003	1	0.00912408759124088	277
2003	1	0.00667556742323097	278
2003	0	0	279
2003	0	0	280
2003	0	0	281
2003	0	0	282
2003	0	0	283
2003	0	0	284
2003	0	0	285
2003	0	0	286
2003	0	0	287
2003	0	0	288
2003	2	0.00849617672047579	289
2003	0	0	290
2003	0	0	291
2003	1	0.0094876660341556	292
2003	0	0	293
2003	2	0.0129617627997408	294
2003	1	0.00827814569536424	295
2003	1	0.00916590284142988	296
2003	0	0	297
2003	0	0	298
2003	0	0	299
2003	0	0	300
2003	0	0	301
2003	0	0	302
2003	0	0	303
2003	0	0	304
2003	1	0.00598444045481748	305
2003	0	0	306
2003	0	0	307
2003	0	0	308
2003	0	0	309
2003	0	0	310
2003	0	0	311
2003	0	0	312
2003	1	0.00727272727272727	313
2003	0	0	314
2003	0	0	315
2003	0	0	316
2003	1	0.00744047619047619	317
2003	0	0	318
2003	0	0	319
2003	4	0.0339270568278202	320
2003	0	0	321
2003	3	0.0248344370860927	322
2003	0	0	323
2003	7	0.0383771929824561	324
2003	0	0	325
2003	1	0.00761614623000762	326
2003	3	0.0175953079178886	327
2003	0	0	328
2003	0	0	329
2003	1	0.00442086648983201	330
2003	0	0	331
2003	9	0.0795755968169761	332
2003	0	0	333
2003	0	0	334
2003	2	0.00789889415481833	335
2003	1	0.00333778371161549	336
2003	3	0.0410958904109589	337
2003	3	0.0209643605870021	338
2003	0	0	339
2003	0	0	340
2003	2	0.0114351057747284	341
2003	7	0.035677879714577	342
2003	0	0	343
2003	0	0	344
2003	0	0	345
2003	4	0.0202224469160768	346
2003	0	0	347
2003	0	0	348
2003	0	0	349
2003	0	0	350
2003	3	0.0192184497117233	351
2003	28	0.174454828660436	352
2003	0	0	353
2003	9	0.0448654037886341	354
2003	1	0.005005005005005	355
2003	1	0.00493583415597236	356
2003	1	0.00638977635782748	357
2003	1	0.00767459708365311	358
2003	0	0	359
2003	0	0	360
2003	0	0	361
2003	8	0.0569395017793594	362
2003	0	0	363
2003	1	0.00931966449207829	364
2003	5	0.0364166059723234	365
2003	0	0	366
2003	0	0	367
2003	1	0.00556792873051225	368
2003	0	0	369
2003	11	0.0623936471922859	370
2003	0	0	371
2003	1	0.0087719298245614	372
2003	0	0	373
2003	0	0	374
2003	0	0	375
2003	0	0	376
2003	0	0	377
2003	0	0	378
2003	1	0.00519480519480519	379
2003	0	0	380
2003	1	0.00738007380073801	381
2003	0	0	382
2003	16	0.0768861124459395	383
2003	3	0.0158311345646438	384
2003	0	0	385
2003	13	0.0871313672922252	386
2003	2	0.0125707102451289	387
2003	2	0.0152905198776758	388
2003	4	0.0228050171037628	389
2003	5	0.0297973778307509	390
2003	1	0.00714285714285714	391
2003	1	0.00685871056241427	392
2003	11	0.0795947901591896	393
2003	30	0.206469373709566	394
2003	1	0.00496031746031746	395
2003	3	0.0186104218362283	396
2003	0	0	397
2003	0	0	398
2003	6	0.0307062436028659	399
2003	10	0.0902527075812274	400
2003	0	0	401
2003	0	0	402
2003	0	0	403
2003	0	0	404
2003	45	0.341945288753799	405
2003	2	0.0164203612479475	406
2003	6	0.0369230769230769	407
2003	1	0.00733675715333822	408
2003	18	0.146938775510204	409
2003	9	0.0604838709677419	410
2003	20	0.14695077149155	411
2003	13	0.10989010989011	412
2003	1	0.00751314800901578	413
2003	1	0.00707714083510262	414
2003	0	0	415
2003	0	0	416
2003	0	0	417
2003	0	0	418
2003	0	0	419
2003	0	0	420
2003	0	0	421
2003	0	0	422
2003	0	0	423
2003	1	0.00783699059561129	424
2003	6	0.033112582781457	425
2003	0	0	426
2003	2	0.011001100110011	427
2003	0	0	428
2003	0	0	429
2003	0	0	430
2003	4	0.0256904303147078	431
2003	0	0	432
2003	0	0	433
2003	0	0	434
2003	0	0	435
2003	21	0.12188044109112	436
2003	0	0	437
2003	2	0.0132450331125828	438
2005	0	0	439
2005	0	0	440
2005	1	0.00556483027267668	441
2005	0	0	442
2005	0	0	443
2005	0	0	444
2005	0	0	445
2005	0	0	446
2005	0	0	447
2005	0	0	448
2005	0	0	449
2005	0	0	450
2005	5	0.0329815303430079	451
2005	1	0.00771604938271605	452
2005	16	0.105610561056106	453
2005	0	0	454
2005	2	0.0129282482223659	455
2005	1	0.00671591672263264	456
2005	2	0.0110987791342952	457
2005	4	0.0315955766192733	458
2005	47	0.329131652661064	459
2005	3	0.0186799501867995	460
2005	0	0	461
2005	1	0.0061652281134402	462
2005	0	0	463
2005	0	0	464
2005	1	0.00520833333333333	465
2005	1	0.00574712643678161	466
2005	2	0.0117716303708064	467
2005	0	0	468
2005	3	0.0212314225053079	469
2005	6	0.0421644413211525	470
2005	8	0.0464306442251886	471
2005	2	0.0140745953553835	472
2005	7	0.0459619172685489	473
2005	1	0.00582072176949942	474
2005	16	0.0988875154511743	475
2005	21	0.142372881355932	476
2005	1	0.00723589001447178	477
2005	3	0.0203252032520325	478
2005	18	0.101465614430665	479
2005	0	0	480
2005	4	0.0226116449971735	481
2005	3	0.0189155107187894	482
2005	16	0.0916380297823597	483
2005	14	0.0810185185185185	484
2005	5	0.0292740046838407	485
2005	1	0.00657462195923734	486
2005	3	0.0171232876712329	487
2005	1	0.00582072176949942	488
2005	2	0.0129785853341986	489
2005	2	0.0126903553299492	490
2005	0	0	491
2005	8	0.0429876410531972	492
2005	11	0.0681114551083591	493
2005	8	0.0479328939484721	494
2005	6	0.0343839541547278	495
2005	0	0	496
2005	10	0.0592768227622999	497
